ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
5571002826,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571003336,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571003795,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571004266,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571004725,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571005182,0,"Tesla V100-SXM2-32GB",idle,600,877,135,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571005648,0,"Tesla V100-SXM2-32GB",idle,600,877,135,877,mem_then_gpu,0,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571006103,0,"Tesla V100-SXM2-32GB",idle,600,877,135,877,mem_then_gpu,0,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571006558,0,"Tesla V100-SXM2-32GB",idle,600,877,135,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571007012,0,"Tesla V100-SXM2-32GB",idle,600,877,135,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571007473,0,"Tesla V100-SXM2-32GB",idle,600,877,1065,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571007921,0,"Tesla V100-SXM2-32GB",idle,600,877,1065,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996036,set_locked_mem:Not Supported
5571010428,0,"Tesla V100-SXM2-32GB",idle,600,877,1065,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571010893,0,"Tesla V100-SXM2-32GB",idle,600,877,1065,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571011349,0,"Tesla V100-SXM2-32GB",idle,600,877,1065,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571011806,0,"Tesla V100-SXM2-32GB",idle,1065,877,600,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571012273,0,"Tesla V100-SXM2-32GB",idle,1065,877,600,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571012722,0,"Tesla V100-SXM2-32GB",idle,1065,877,600,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571013998,0,"Tesla V100-SXM2-32GB",idle,1065,877,600,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571014456,0,"Tesla V100-SXM2-32GB",idle,1065,877,600,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571014923,0,"Tesla V100-SXM2-32GB",idle,1065,877,1530,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571015382,0,"Tesla V100-SXM2-32GB",idle,1065,877,1530,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571015850,0,"Tesla V100-SXM2-32GB",idle,1065,877,1530,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571016314,0,"Tesla V100-SXM2-32GB",idle,1065,877,1530,877,mem_then_gpu,0,0,0,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571016773,0,"Tesla V100-SXM2-32GB",idle,1065,877,1530,877,mem_then_gpu,0,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571017235,0,"Tesla V100-SXM2-32GB",idle,1530,877,1065,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571017696,0,"Tesla V100-SXM2-32GB",idle,1530,877,1065,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571018157,0,"Tesla V100-SXM2-32GB",idle,1530,877,1065,877,mem_then_gpu,0,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571018614,0,"Tesla V100-SXM2-32GB",idle,1530,877,1065,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
5571019072,0,"Tesla V100-SXM2-32GB",idle,1530,877,1065,877,mem_then_gpu,1,0,1,0,0,0,3,2000,2000,0,0,38086,128996342,set_locked_mem:Not Supported
