transition,n,api_us_mean,api_us_p50,api_us_p95,api_us_p99,api_us_max,settle_after_call_us_mean,settle_after_call_us_p50,settle_after_call_us_p95,settle_after_call_us_p99,settle_after_call_us_max,settle_total_us_mean,settle_total_us_p50,settle_total_us_p95,settle_total_us_p99,settle_total_us_max,polls_mean,polls_p50,polls_p95,polls_p99,polls_max,gpu_util_pct_mean,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_p99,gpu_util_pct_max,pcie_tx_kbps_mean,pcie_tx_kbps_p50,pcie_tx_kbps_p95,pcie_tx_kbps_p99,pcie_tx_kbps_max,pcie_rx_kbps_mean,pcie_rx_kbps_p50,pcie_rx_kbps_p95,pcie_rx_kbps_p99,pcie_rx_kbps_max,power_mw_mean,power_mw_p50,power_mw_p95,power_mw_p99,power_mw_max
135->412,300,5529.763333333333,3417.5,9797.95,14630.879999999997,15595.0,23375.59,21561.5,27894.4,29128.78,29414.0,28906.496666666666,24993.5,37063.6,38203.1,38558.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,72.24999966666667,50.0,125.41665000000009,450.9999999999991,900.0,203.1111,66.6667,675.0,2487.2466999999965,11850.0,32543.68666666667,32732.0,33219.0,33219.0,33705.0
412->135,300,3306.9666666666667,3178.0,3512.35,7273.539999999997,8757.0,20981.983333333334,20819.0,21957.65,25440.729999999996,29163.0,24290.173333333332,24082.0,25701.2,29551.01,36689.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,72.500005,50.0,133.333,566.8336599999999,616.667,155.944495,66.6667,500.83335000000017,2018.6699999999983,2500.0,28818.503333333334,28838.0,28857.0,28857.0,28857.0
412->690,300,3990.4933333333333,3437.5,7853.1,9649.549999999994,12192.0,21250.37,21256.0,22570.600000000002,24788.96,25370.0,25242.073333333334,24731.5,30046.550000000003,32022.749999999993,35135.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,74.16666933333335,50.0,116.667,583.4996699999998,766.667,173.36110333333332,66.6667,483.333,1900.999999999999,2500.0,50825.64333333333,50221.0,53163.350000000006,54116.85999999999,55571.0
1530->1252,300,6584.96,6032.0,11529.500000000002,12897.259999999998,14208.0,20204.596666666668,20021.0,21174.850000000002,22540.69999999999,24896.0,26790.73,26076.0,32078.25,33234.36,34773.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,71.25,50.0,150.0,825.0,1150.0,235.16666666666666,50.0,1250.0,3725.0,11950.0,116977.33,117520.0,118491.0,118491.0,118976.0
975->690,300,4688.466666666666,3809.0,9477.250000000002,10459.11,10517.0,20246.28,20081.0,21000.0,22367.159999999996,23018.0,24935.96,23938.0,30115.550000000003,30859.3,31752.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,79.66666666666667,50.0,150.0,952.9999999999973,1700.0,214.33333333333334,50.0,1250.0,3703.9999999999964,5850.0,57465.01,57517.0,58003.0,58003.0,58490.0
1252->1530,300,5765.8133333333335,5262.0,10259.5,11659.879999999997,12913.0,20165.773333333334,19991.5,21585.75,22037.50999999999,23942.0,25932.74,25271.5,30828.55,32120.26,33187.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,72.58333333333333,50.0,150.0,900.2499999999998,1550.0,283.6666666666667,50.0,1300.0,3706.7499999999936,5900.0,154953.02333333335,154670.0,156505.0,158930.84,159894.0
1252->975,300,5509.053333333333,5064.0,9334.400000000003,11541.519999999997,12592.0,20131.69,20026.0,20598.5,21990.759999999995,24299.0,25641.946666666667,25117.5,29809.800000000003,32041.299999999996,33690.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,63.833333333333336,50.0,150.0,354.7499999999957,1350.0,244.83333333333334,50.0,1276.2500000000002,2982.499999999993,6250.0,75964.53333333334,75950.0,76436.0,76922.0,76922.0
690->412,300,3748.7033333333334,3529.5,4031.05,9367.009999999998,10452.0,20586.666666666668,20309.5,21615.25,21932.06,23151.0,24336.583333333332,23942.5,25559.15,29649.54,30943.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,67.22222699999999,50.0,125.0,550.1666699999998,600.0,193.99999933333334,50.0,700.0,2417.3365999999996,5900.0,37303.636666666665,37112.0,37599.0,37599.0,38086.0
975->1252,300,5114.183333333333,4553.0,8709.500000000002,10528.269999999999,11656.0,20137.32,20008.5,20949.65,21840.45,23856.0,25252.68666666667,24596.5,28951.25,30911.309999999998,32140.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,80.83333333333333,50.0,150.0,850.2499999999998,1800.0,236.16666666666666,50.0,1250.0,4340.249999999986,7350.0,95873.31666666667,95753.0,96323.1,96724.0,98180.0
690->975,300,4896.473333333333,3946.5,9513.05,10455.14,10975.0,20133.946666666667,20025.0,20766.05,21710.2,23772.0,25031.596666666668,24009.0,30115.65,31026.39,31543.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,70.0,50.0,150.0,700.2499999999998,1300.0,232.66666666666666,50.0,1250.0,2981.9999999999936,5850.0,65894.28,65742.0,66252.3,66714.0,66714.0
