metric,n,mean,std,min,max,p50,p90,p95,p99
api_us,3000.0,5018.528666666667,1831.4043589060725,3157.0,13679.0,4530.5,7522.5,9368.599999999997,11362.309999999992
settle_after_call_us,3000.0,20170.088666666667,393.4475116874421,19858.0,23973.0,20056.0,20436.1,20859.05,21917.059999999998
settle_total_us,3000.0,25189.755333333334,1923.8830524414366,23196.0,34163.0,24566.0,27862.4,29830.399999999998,31858.05
polls,3000.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
gpu_util_pct,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mem_util_pct,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcie_tx_kbps,3000.0,68.57222223333333,129.36831351272104,0.0,2300.0,50.0,100.0,150.0,750.0
pcie_rx_kbps,3000.0,240.1,674.669956237826,0.0,7400.0,50.0,675.0,1300.0,3675.249999999994
power_mw,3000.0,30733.079,7207.392288057935,23500.0,47789.0,28108.0,40272.99999999934,47302.0,47302.0
